Class Suffix,Contributor,Label,Parent,Definition
DIGITRUBBER_000129,,operator [hsh],role,A person who operates a machine entity unit in the system under investigation. Constitutes an entity of the human resource and the production cost group.
PMD_0025015,,portion of lanthanum,portion of pure chemical element,A portion of lanthanum is a portion of pure substance that has parts only chebi:lanthanum atom.
CHEBI_33319,,lanthanoid atom,metal atom,Definition not available
CHEBI_33336,,lanthanum atom,lanthanoid atom,Definition not available
DIGITRUBBER_000125,Marvin Auf der Landwehr,finished product [hsh],role,"The product that emerges at the end of the production process of the system under study.  Constitutes an entity in the material cost, production cost, and waste management cost group."
CHEBI_32594,,barium atom,metal atom,Definition not available
BFO_0000016,,disposition,realizable entity,(Elucidation) A disposition b is a realizable entity such that if b ceases to exist then its bearer is physically changed & b's realization occurs when and because this bearer is in some special physical circumstances & this realization occurs in virtue of the bearer's physical make-up
CHEBI_25367,,molecule,polyatomic entity,Any polyatomic entity that is an electrically neutral entity consisting of more than one atom.
DIGITRUBBER_000213,Sven Schwabe (IFNANO),laser-induced breakdown spectroscopy [ifnano],plan specification,"Laser induced breakdown spectroscopy is a type of atomic emission spectroscopy which uses a highly energetic laser pulse as the excitation source. The laser is focused to form a plasma, which atomizes and excites samples. The Emission of these excited species is analyzed to identify and quantify the elements contained in the sample."
PMD_0000652,,forming under tensile conditions,forming,A forming process that involves stretching or elongating materials to achieve desired dimensions or shapes.
CHEBI_194539,,tennessine atom,nonmetal atom,A halogen atom with a symbol Ts and atomic number 117.
PMD_0001044,,date value specification,value specification,A datum that represents a date or time interval associated with another specification.
PMD_0050017,,general purpose polystyrene,polystyrene,polystyrene that is valued for its clarity and ease of processing
CHEBI_36357,,polyatomic entity,molecular entity,Any molecular entity consisting of more than one atom.
IAO_0000007,,action specification,directive information entity,A directive information entity that describes an action the bearer will take.
CHEBI_33364,,platinum,metal atom,Definition not available
CHEBI_17051,,fluoride,molecular entity,Definition not available
DIGITRUBBER_000650,Yamen Alsalka,styrene-butadiene rubber SBR [ifnano],synthetic rubber [dik],Families of synthetic rubbers derived from styrene and butadiene.
CHEBI_25107,,magnesium atom,metal atom,Definition not available
PMD_0000953,,structural and chemical decay,evolution of damage,The structural and chemical decay is an evolution of damage describing the deterioration of a material's structure and composition over time due to environmental or operational conditions.
DIGITRUBBER_000135,,warehouse clerk [hsh],role,"A person who handles a company's incoming and outgoing raw materials, semi-finished prodcuts as well as finished products, and who manages stocks in the system under investigation. Constitutes an entity of the human ressource and the storage cost group."
PMD_0000779,,heat treatment,changing properties of material,A changing properties of material process in which a solid (ferrous) product is fully or partially exposed to specific time-temperature sequences through a series of process steps with the aim of modifying its properties and/or its internal structure.
PMD_0020000,,phase (thermodynamic),material entity,A thermodynamic phase is a material entity that forms a homogeneous portion of matter within a thermodynamic system and is characterized by uniform thermodynamic properties.
CHEBI_30514,,caesium atom,metal atom,Definition not available
