Class Suffix,Contributor,Label,Parent,Definition
PMD_0050126,,toughened (tempered) glass,engineered material,glass that is mechanically treated to increase its strength and safety
DIGITRUBBER_1000092,Pallavi Karanth,mixing curves,graph,"mixing curves are the graphical representations which describe phase behaviour of polymer systems which are essential for predicting the phase morphology of polymer systems influencing the physical, mechanical and chemical properties of polymers."
PMD_0090017,,engineered biopolymer,bio-based material,"bio-based material and polymer synthesized through the intentional industrial transformation, synthesis, or reconstitution processes using materials derived from living (or once-living) organisms"
DIGITRUBBER_000280,Sven Schwabe (IFNANO),sample [ifnano],role,"A material entity, which is part of a larger set of the same material entity"
PMD_0000524,,assembling process,manufacturing process,An assembling process is a manufacturing process that mounts or demounts components.
CHEBI_51143,,nitrogen molecular entity,pnictogen molecular entity,
PMD_0020247,,dispersion,optical property,Optical property describing the wavelength dependent phase velocity.
DIGITRUBBER_000389,Alexander Aschemann,mixing chamber temperature control unit [dik],device,
DIGITRUBBER_000216,Sven Schwabe (IFNANO),peak [ifnano],information content entity,"In Spectroscopy, peaks are features of a spectrum. A peak comprise a restricted region of a spectrum, which is absorbed or emitted with high intensity. It is defined as a local maximum in the spectrum."
BFO_0000019,,quality,specifically dependent continuant,"(Elucidation) A quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized"
PMD_0050054,,technical ceramic,ceramic,ceramics that are engineered for high-performance applications
PMD_0025005,,3D,data item,"A three-dimensional data item is a representation or analysis, commonly applied in studying material properties in its volume or describing a dependency of one variable on two other variables."
DIGITRUBBER_1000028,,elongation [Arlanxeo],intensive quality,"In physical testing, it refers to a deformation regime in which layers of fluid or solid deformed axially."
CHEBI_30187,,aluminium oxide,molecular entity,
PMD_0050101,,silicate glass,glass,glass whose network is based primarily on silica (SiO₂)
PMD_0000981,,thermal property,material property,"A thermal property is a material property representing attributes of a material that describe its behavior under temperature changes, such as thermal conductivity and expansion."
DIGITRUBBER_1000011,,vulcanization [Arlanxeo],process,The process of converting a polymer compound into an elastic network using vulcanization chemicals (e.g. sulfur) and heat (to start the reaction).
CHEBI_33322,,rubidium atom,metal atom,
DIGITRUBBER_000091,Sebastian Leineweber,tempering screw [ita],object,Control variable for setting the temperature of the screw.
DIGITRUBBER_1000005,,butadiene rubber [Arlanxeo],chemical substance,Rubber polymer with butadiene as its only monomer.
PMD_0000786,,hybrid simulation,simulation method specification,A simulation method specification that combines physical and computational models to analyze material behavior.
CHEBI_29287,,gold atom,metal atom,
DIGITRUBBER_000400,Alexander Aschemann,mass temperature [dik],intensive quality,"The temperature of the bulk polymer material (polymer melt, rubber compound, or mixture) during processing, representing the average thermal state of the material mass rather than the temperature of surrounding equipment surfaces."
PMD_0000661,,glass,material,A glass is an engineered material present as an amorphous solid typically formed by rapid cooling of a melt.
PMD_0020142,,energy,extensive quality,an extensive quality of material entities which manifests as a capacity to perform work (such as causing motion or the interaction of molecules)
PMD_0090016,,bio-based material,material,material intentionally processed from materials derived from living (or once-living) organisms
IAO_0000027,PERSON: Alan Ruttenberg,data item,information content entity,"An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."
PMD_0000015,,output specification,parameter specification,A parameter specification that prescribes a data item intended to be produced as output by the execution of a workflow function.
PATO_0001025,,pressure [pato],intensive quality,A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts.
PMD_0020106,,polycrystal,connected material entity aggregate,A polycrystal is a connected material entity aggregate that consists of multiple crystal grains joined through crystallographic interfaces.
PMD_0020163,,eutectic phase transformation,phase transformation,A eutectic phase transformation is a phase transformation in which a liquid parent phase decomposes into two distinct solid daughter phases at constant temperature and pressure.
result#AFR_0000068,,spectrum [allotrope],information content entity,A spectrum is a data distribution function of a measured quantity in a spectroscopy against some experimental parameter. [Allotrope]
PMD_0000635,,evolution of damage,process,"An evolution of damage is a process representing the progression of material degradation under mechanical, thermal, or chemical stresses."
OBI_0000018,PERSON:Jennifer Fostel,material supplier role,service provider role,"a role realized through the process of supplying materials such as animal subjects, reagents or other materials used in an investigation."
PMD_0000619,,electric potential,extensive quality,an extensvie quality describing the amount of work needed to move a unit charge from a reference point to a specific location in an electric field.
DIGITRUBBER_000003,,geometry [imr],data item,
BFO_0000203,,temporal instant,zero-dimensional temporal region,(Elucidation) A temporal instant is a zero-dimensional temporal region that has no proper temporal part
PMD_0010020,,portion of rhodium,portion of pure chemical element,A 'portion of rhodium' is a 'portion of pure chemical element' that 'consists of' only chebi:rhodium atom.
