Class Suffix,Contributor,Label,Parent,Definition,Message
DIGITRUBBER_000453,,sensor [chmo],device,A piece of apparatus that is used to measure a physical quantity.,"Multiple DIGITRUBBER classes use the same base label 'sensor ' with different partner tags: 'sensor [chmo]', sensor  [sosa]"
DIGITRUBBER_000003,,geometry [imr],data item,,"Multiple DIGITRUBBER classes use the same base label 'geometry ' with different partner tags: 'geometry [imr]', geometry  [geosparql]"
DIGITRUBBER_000636,Alexander Aschemann,optical quality [dik],intensive quality,,"Multiple DIGITRUBBER classes use the same base label 'optical quality ' with different partner tags: 'optical quality [dik]', optical quality  [pato]"
DIGITRUBBER_000229,Christoph Lenth,photometry [ifnano],plan specification,Measurement method using visible light to analyse the property of a substance,"Multiple DIGITRUBBER classes use the same base label 'photometry ' with different partner tags: 'photometry [ifnano]', photometry  [ncit]"
DIGITRUBBER_000326,Alexander Aschemann,dithiocarbamate [dik],dithiocarbamate anions,,"Multiple DIGITRUBBER classes use the same base label 'dithiocarbamate ' with different partner tags: 'dithiocarbamate [dik]', dithiocarbamate  [chebi]"
DIGITRUBBER_000525,Alexander Aschemann,quality of a substance [dik],quality,,"Multiple DIGITRUBBER classes use the same base label 'quality of a substance ' with different partner tags: 'quality of a substance [dik]', quality of a substance  [pato]"
DIGITRUBBER_000545,,function [dik],function,,"Multiple DIGITRUBBER classes use the same base label 'function ' with different partner tags: 'function [dik]', function  [ncit]"
DIGITRUBBER_000556,Alexander Aschemann,mixing [dik],planned process,,"Multiple DIGITRUBBER classes use the same base label 'mixing ' with different partner tags: 'mixing [dik]', mixing  [chmo], mixing  [ncit]"
DIGITRUBBER_000634,Alexander Aschemann,quality of a solid [dik],quality,,"Multiple DIGITRUBBER classes use the same base label 'quality of a solid ' with different partner tags: 'quality of a solid [dik]', quality of a solid  [pato]"
DIGITRUBBER_000605,Alexander Aschemann,group [dik],chemical entity,,"Multiple DIGITRUBBER classes use the same base label 'group ' with different partner tags: 'group [dik]', group  [ncit], group  [chebi]"
DIGITRUBBER_000216,Sven Schwabe (IFNANO),peak [ifnano],information content entity,"In Spectroscopy, peaks are features of a spectrum. A peak comprise a restricted region of a spectrum, which is absorbed or emitted with high intensity. It is defined as a local maximum in the spectrum.","Multiple DIGITRUBBER classes use the same base label 'peak ' with different partner tags: 'peak [ifnano]', peak  [allotrope], peak  [ncit], peak  [ms]"
DIGITRUBBER_000269,Yamen Alsalka,Mooney viscosity [ifnano],intensive quality,The viscosity of rubber using a standard test method and Mooney Viscometer.,"Multiple DIGITRUBBER classes use the same base label 'Mooney viscosity ' with different partner tags: 'Mooney viscosity [ifnano]', Mooney viscosity  [dik]"
DIGITRUBBER_000019,,standard deviation [Wikipedia],measurement datum,The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia],"Multiple DIGITRUBBER classes use the same base label 'standard deviation ' with different partner tags: 'standard deviation [Wikipedia]', standard deviation  [ncit], standard deviation  [allotrope], standard deviation  [ms], standard deviation  [ifnano]"
DIGITRUBBER_000600,Alexander Aschemann,organodiyl group [dik],organic divalent group [chebi],,"Multiple DIGITRUBBER classes use the same base label 'organodiyl group ' with different partner tags: 'organodiyl group [dik]', organodiyl group  [chebi]"
DIGITRUBBER_000213,Sven Schwabe (IFNANO),laser-induced breakdown spectroscopy [ifnano],plan specification,"Laser induced breakdown spectroscopy is a type of atomic emission spectroscopy which uses a highly energetic laser pulse as the excitation source. The laser is focused to form a plasma, which atomizes and excites samples. The Emission of these excited species is analyzed to identify and quantify the elements contained in the sample.","Multiple DIGITRUBBER classes use the same base label 'laser-induced breakdown spectroscopy ' with different partner tags: 'laser-induced breakdown spectroscopy [ifnano]', laser-induced breakdown spectroscopy  [chmo]"
DIGITRUBBER_000598,Alexander Aschemann,hydrocarbylene group [dik],organodiyl group [chebi],,"Multiple DIGITRUBBER classes use the same base label 'hydrocarbylene group ' with different partner tags: 'hydrocarbylene group [dik]', hydrocarbylene group  [chebi]"
DIGITRUBBER_000295,Alexander Aschemann,filler [dik],role,"solid compounding ingredient, in particulate form, which may be added in relatively large proportions to a rubber or rubber latex for technical or economic purposes","Multiple DIGITRUBBER classes use the same base label 'filler ' with different partner tags: 'filler [dik]', filler  [Arlanxeo]"
DIGITRUBBER_000481,Alexander Aschemann,vulcanization [dik],process,"process, usually involving heat, in which rubber, through a change in its chemical structure (for example, crosslinking), is converted to a condition in which the elastic properties are conferred or re-established or improved or extended over a greater range of temperatures","Multiple DIGITRUBBER classes use the same base label 'vulcanization ' with different partner tags: 'vulcanization [dik]', vulcanization  [Arlanxeo]"
DIGITRUBBER_000190,Christoph Lenth,spectrum [ifnano],information content entity,A graph that shows the intensity of radiation at different wavelengths or the response of the atomic or molecular system to different wavelengths of the radiation,"Multiple DIGITRUBBER classes use the same base label 'spectrum ' with different partner tags: 'spectrum [ifnano]', spectrum  [allotrope], spectrum  [ncit]"
DIGITRUBBER_000106,Marvin Auf der Landwehr,cost [hsh],information content entity,Cumulative expression for the value of all costs groups within the system under study,"Multiple DIGITRUBBER classes use the same base label 'cost ' with different partner tags: 'cost [hsh]', cost  [ncit]"
DIGITRUBBER_000179,Marvin Auf der Landwehr,synthetic rubber [hsh],rubber particle [chebi],"Any of several substances similar to natural rubber in properties and uses, produced synthetically. Constitutes an entity sub-group of the raw material entity.","Multiple DIGITRUBBER classes use the same base label 'synthetic rubber ' with different partner tags: 'synthetic rubber [hsh]', synthetic rubber  [dik]"
DIGITRUBBER_000026,Sebastian Leineweber,agent [ita],role,An agent is a system that perceives its environment through sensors and can interact with it through actions.,"Multiple DIGITRUBBER classes use the same base label 'agent ' with different partner tags: 'agent [ita]', agent  [ncit]"
DIGITRUBBER_000603,Alexander Aschemann,organic group [dik],group [chebi],,"Multiple DIGITRUBBER classes use the same base label 'organic group ' with different partner tags: 'organic group [dik]', organic group  [chebi]"
